HEADER
VTF File Version,1.1
VTF File Type,0
PID,2081276
Generated on,2026-06-29 22:49:25
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2081279

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
21,0:0:0
2247,0:13:0
2270,0:13:94901599135280
2377,0:13:94901599379360
943,0:13:94901599427456
1933,0:13:94901599468176
444,0:13:94901599526880
944,0:13:94901599530976
826,0:13:94901599592416
2320,0:13:94901599697248
2153,0:13:94901599749072
2871,0:13:94901599821776
3148,0:13:94901599932368
953,0:13:94901599952864
946,0:13:94901600018400
947,0:13:94901600100320
396,0:13:94901600104416
2399,0:13:94901600119920
4320,0:13:94901600141264
930,0:13:94901600235488
4730,0:13:94901600284624
1884,0:13:94901600344464
4006,0:13:94901600464848
2038,0:13:94901600566992
3053,0:13:94901600645072
932,0:13:94901600708384
2203,0:13:94901600816880
2362,0:13:94901600958688
596,0:13:94901601041584
2073,0:13:94901601079264
890,0:13:94901601197184
2171,0:13:94901601333216
901,0:13:94901601429568
926,0:13:94901601568480
2956,0:13:94901601652688
2421,0:13:94901601662144
928,0:13:94901601979232
925,0:13:94901602127840
3215,0:13:94901602226128
929,0:13:94901602237632
367,0:13:94901602242528
666,0:13:94901602250720
2294,0:13:94901602254816
619,0:13:94901602263008
2034,0:13:94901602397232
276,0:13:94901602500576
517,0:13:94901602709328
2342,0:13:94901602715072
1761,0:13:94901602733488
1948,0:13:94901602749632
3520,0:13:94901603061712
1947,0:13:94901603438560
923,0:13:94901603508192
655,0:13:94901603643360
288,0:13:94901603774432
325,0:13:94901603971040
572,0:13:94901603991152
936,0:13:94901604153552
2291,0:13:94901604268352
937,0:13:94901604419616
2237,0:13:94901604555056
938,0:13:94901604622304
2799,0:13:94901604802512
1826,0:13:94901604840208
3168,0:13:94901604843472
2684,0:13:94901604855760
269,0:13:94901605052384
2151,0:13:94901605191344
636,0:13:94901605312976
491,0:13:94901605380064
2441,0:13:94901605587552
3914,0:13:94901605629904
3030,0:13:94901605756880
1781,0:13:94901605937120
2422,0:13:94901606065760
3826,0:13:94901606240208
989,0:13:94901606246352
2326,0:13:94901606424064
455,0:13:94901606506464
878,0:13:94901606534512
2429,0:13:94901606632256
2436,0:13:94901606706336
3349,0:13:94901606780880
2968,0:13:94901607268304
974,0:13:94901607299072
980,0:13:94901607398784
975,0:13:94901607502720
3218,0:13:94901607538640
977,0:13:94901607583712
2222,0:13:94901607674816
978,0:13:94901607706592
1746,0:13:94901607771200
2014,0:13:94901607874528
3043,0:13:94901607890896
991,0:13:94901607905600
3614,0:13:94901607915472
