backend,batch_size,graphs_in_batch,sample,N_total,E_total,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms,compute_ms_per_graph,transfer_ms_per_graph,e2e_ms_per_graph,graphs_per_s,nodes_per_s
gpu_eager,1,1,0,30,184,0.040863998234272,0.2588480114936828,0.2979840040206909,1.2922240495681765,0.0535360015928745,1.5510720610618591,0.0943999998271465,1.6454720608890057,1.5510720610618591,0.0943999998271465,1.6454720608890057,607.7283375201922,18231.850125605768
gpu_eager,1,1,1,36,158,0.0353920012712478,0.2437119930982589,0.2908160090446472,1.2922879457473757,0.0426560007035732,1.5359999388456345,0.078048001974821,1.6140479408204556,1.5359999388456345,0.078048001974821,1.6140479408204556,619.560283625577,22304.170210520773
gpu_eager,1,1,2,31,182,0.0354560017585754,0.2385919988155365,0.2908160090446472,1.2953599691390991,0.0411840006709098,1.5339519679546356,0.0766400024294853,1.610591970384121,1.5339519679546356,0.0766400024294853,1.610591970384121,620.8897215360531,19247.581367617648
gpu_eager,1,1,3,50,538,0.0347520001232624,0.2365760058164596,0.2908160090446472,1.2963839769363403,0.0417280010879039,1.5329599827528,0.0764800012111663,1.6094399839639664,1.5329599827528,0.0764800012111663,1.6094399839639664,621.3341348318266,31066.706741591333
gpu_eager,1,1,4,33,166,0.033984001725912,0.2365439981222152,0.2979840040206909,1.2769279479980469,0.0414719991385936,1.513471946120262,0.0754560008645057,1.588927946984768,1.513471946120262,0.0754560008645057,1.588927946984768,629.355158550551,20768.72023216818
gpu_eager,1,1,5,57,302,0.0354240015149116,0.2375680059194564,0.2979840040206909,1.2849279642105105,0.0409279987215995,1.5224959701299667,0.0763520002365112,1.598847970366478,1.5224959701299667,0.0763520002365112,1.598847970366478,625.4503358257297,35650.6691420666
gpu_eager,1,1,6,22,80,0.0333760008215904,0.2426880002021789,0.2951039969921112,1.285248041152954,0.042527999728918,1.527936041355133,0.0759040005505085,1.6038400419056416,1.527936041355133,0.0759040005505085,1.6038400419056416,623.5035750895867,13717.078651970907
gpu_eager,1,1,7,29,106,0.033984001725912,0.240799993276596,0.291839987039566,1.2759040594100952,0.0421760007739067,1.5167040526866913,0.0761600024998188,1.59286405518651,1.5167040526866913,0.0761600024998188,1.59286405518651,627.7999661954259,18206.19901966735
gpu_eager,1,1,8,25,78,0.0387840010225772,0.2355200052261352,0.2926400005817413,1.282047986984253,0.0419199988245964,1.5175679922103882,0.0807039998471736,1.598271992057562,1.5175679922103882,0.0807039998471736,1.598271992057562,625.6757328973985,15641.893322434962
gpu_eager,1,1,9,23,56,0.0336319990456104,0.236735999584198,0.2908160090446472,1.2993279695510864,0.0423359982669353,1.5360639691352844,0.0759679973125457,1.6120319664478302,1.5360639691352844,0.0759679973125457,1.6120319664478302,620.3350931083181,14267.707141491315
